rank,corridor_id,region,road,n_segments,length_km,n_critical,n_serious,school_or_market,dominant_intervention,cost_tier,total_benefit,mean_bcr_index,mean_ksi_reduction_pct,inspect_at
1,THA_2042,THA,Phahonyothin Road,4,175.3,4,0,,Physical protection: footways/crossings/separation (high cost),4,169.8,24.0,98.0,"17.23462,99.13542"
2,THA_772,THA,Si Khio-Det Udom Road,10,179.2,10,0,,Physical protection: footways/crossings/separation (high cost),4,161.5,9.0,97.0,"14.61997,103.28428"
3,THA_969,THA,Phetkasem Road,5,163.5,5,0,,Physical protection: footways/crossings/separation (high cost),4,157.8,18.0,98.0,"10.99824,99.32187"
4,THA_228,THA,Phahon Yothin Road,5,168.7,5,0,,Physical protection: footways/crossings/separation (high cost),4,157.4,18.0,93.0,"14.13177,100.64946"
5,THA_156,THA,Suwannason Road,8,167.5,8,0,,Physical protection: footways/crossings/separation (high cost),4,153.4,11.0,97.0,"13.81547,102.16090"
6,THA_874,THA,Debaratna Road,4,163.9,4,0,,Physical protection: footways/crossings/separation (high cost),4,152.7,21.0,93.0,"13.60145,100.80185"
7,THA_203,THA,Phahon Yothin Road,11,160.2,11,0,,Physical protection: footways/crossings/separation (high cost),4,152.2,8.0,98.0,"16.00510,99.82070"
8,THA_755,THA,Mittraphap Road,6,161.2,6,0,,Physical protection: footways/crossings/separation (high cost),4,151.4,14.0,94.0,"14.92241,101.90390"
9,THA_897,THA,Nittayo Road,4,159.7,4,0,,Physical protection: footways/crossings/separation (high cost),4,148.6,21.0,96.0,"17.31559,104.42867"
10,THA_750,THA,Rama II Road,4,155.1,4,0,,Physical protection: footways/crossings/separation (high cost),4,144.4,20.0,93.0,"13.59204,100.32433"
11,THA_818,THA,Maliwan Road,11,158.8,11,0,,Physical protection: footways/crossings/separation (high cost),4,144.1,7.0,97.0,"16.49846,102.40268"
12,THA_687,THA,(unnamed corridor),1,152.2,1,0,,Physical protection: footways/crossings/separation (high cost),4,143.2,80.0,95.0,"16.95463,103.55928"
13,THA_833,THA,Sukhumvit Road,6,147.2,6,0,,Physical protection: footways/crossings/separation (high cost),4,138.2,13.0,97.0,"12.73480,101.74502"
14,THA_164,THA,Rangsit-Nakhon Nayok Road,4,142.0,4,0,,Physical protection: footways/crossings/separation (high cost),4,134.7,19.0,94.0,"14.10239,100.90959"
15,THA_326,THA,Asian Highway,4,134.3,4,0,,Physical protection: footways/crossings/separation (high cost),4,129.6,18.0,98.0,"7.91071,99.92769"
16,THA_775,THA,Chayangkun Road,9,147.0,9,0,,Physical protection: footways/crossings/separation (high cost),4,126.9,8.0,96.0,"16.50514,104.62536"
17,THA_930,THA,Mittraphap Road,14,138.9,14,0,,Physical protection: footways/crossings/separation (high cost),4,126.8,5.0,97.0,"17.09068,102.89229"
18,THA_983,THA,Phetkasem Road,3,126.8,3,0,,Physical protection: footways/crossings/separation (high cost),4,122.1,23.0,97.0,"7.35554,100.13576"
19,MAH_791,MAH,(unnamed),1,125.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,119.8,67.0,97.0,"18.24696,75.92919"
20,MAH_788,MAH,(unnamed),1,125.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,119.7,67.0,97.0,"18.24695,75.92933"
21,THA_975,THA,Phetkasem Road,10,124.5,10,0,,Physical protection: footways/crossings/separation (high cost),4,118.0,7.0,98.0,"12.00086,99.82363"
22,THA_2043,THA,Phahonyothin Road,2,122.4,2,0,,Physical protection: footways/crossings/separation (high cost),4,117.5,33.0,98.0,"17.90437,99.32014"
23,THA_778,THA,Chayangkun Road,2,121.2,2,0,,Physical protection: footways/crossings/separation (high cost),4,115.1,32.0,97.0,"15.56321,104.71486"
24,THA_870,THA,Super Highway,4,110.9,4,0,,Physical protection: footways/crossings/separation (high cost),4,106.0,15.0,96.0,"18.58489,99.10318"
25,MAH_618,MAH,(unnamed),1,127.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,98.7,55.0,91.0,"21.22336,75.49169"
26,THA_216,THA,Phahon Yothin Road,6,105.0,6,0,,Physical protection: footways/crossings/separation (high cost),4,98.3,9.0,95.0,"18.93849,99.93508"
27,THA_301,THA,Charot Withi Thong Road,6,110.8,6,0,,Physical protection: footways/crossings/separation (high cost),4,95.4,9.0,98.0,"16.93752,99.36695"
28,THA_227,THA,Phahon Yothin Road,4,98.4,4,0,,Physical protection: footways/crossings/separation (high cost),4,93.2,13.0,96.0,"14.41238,100.88825"
29,THA_972,THA,Phetkasem Road,2,96.8,2,0,,Physical protection: footways/crossings/separation (high cost),4,91.4,26.0,97.0,"7.75595,99.39778"
30,THA_828,THA,Sukhumvit Road,15,100.7,13,2,,Physical protection: footways/crossings/separation (high cost),4,90.8,3.0,94.0,"12.94549,100.91359"
31,THA_333,THA,Thanawithi Road,2,93.4,2,0,,Physical protection: footways/crossings/separation (high cost),4,87.4,25.0,97.0,"14.00301,102.69128"
32,THA_137,THA,Singhawat Road,6,92.0,6,0,,Physical protection: footways/crossings/separation (high cost),4,84.4,8.0,94.0,"16.93266,100.09689"
33,THA_205,THA,Phahon Yothin Road,4,88.6,4,0,,Physical protection: footways/crossings/separation (high cost),4,84.4,12.0,98.0,"16.53241,99.44442"
34,THA_780,THA,Chayangkun Road,6,97.5,6,0,,Physical protection: footways/crossings/separation (high cost),4,84.3,8.0,96.0,"17.16327,104.76695"
35,MAH_792,MAH,(unnamed),1,86.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,82.3,46.0,97.0,"19.22152,75.73269"
36,MAH_786,MAH,(unnamed),1,86.5,1,0,,Physical protection: footways/crossings/separation (high cost),4,82.1,46.0,97.0,"19.22148,75.73256"
37,THA_997,THA,Si Chan Road,6,90.8,6,0,,Physical protection: footways/crossings/separation (high cost),4,81.1,8.0,97.0,"16.40558,103.14405"
38,THA_251,THA,Phet Kasem Road,4,84.3,4,0,,Physical protection: footways/crossings/separation (high cost),4,80.5,11.0,96.0,"13.77915,100.13340"
39,THA_982,THA,Phetkasem Road,3,84.7,3,0,,Physical protection: footways/crossings/separation (high cost),4,78.7,15.0,95.0,"12.64104,99.95923"
40,THA_625,THA,(unnamed corridor),1,87.4,1,0,,Physical protection: footways/crossings/separation (high cost),4,77.9,44.0,95.0,"18.09918,102.16536"
